"SampleID","Life.Stage","Gut.Region","Individual.Number","Stage.n.Gut","Stage.n.Num"
"Amid12","adult","midgut","12","Adult midgut","adult 12"
"Amid39","adult","midgut","39","Adult midgut","adult 39"
"Amid40","adult","midgut","40","Adult midgut","adult 40"
"Amid41","adult","midgut","41","Adult midgut","adult 41"
"Amid46","adult","midgut","46","Adult midgut","adult 46"
"Amid49","adult","midgut","49","Adult midgut","adult 49"
"Amid7","adult","midgut","7","Adult midgut","adult 7"
"Ileum12","larva","ileum","12","Larval ileum","larva 12"
"Ileum17","larva","ileum","17","Larval ileum","larva 17"
"Ileum18","larva","ileum","18","Larval ileum","larva 18"
"Ileum19","larva","ileum","19","Larval ileum","larva 19"
"Ileum20","larva","ileum","20","Larval ileum","larva 20"
"Ileum21","larva","ileum","21","Larval ileum","larva 21"
"Ileum2","larva","ileum","2","Larval ileum","larva 2"
"Ileum3","larva","ileum","3","Larval ileum","larva 3"
"Ileum5","larva","ileum","5","Larval ileum","larva 5"
"Ileum7","larva","ileum","7","Larval ileum","larva 7"
"Ileum9","larva","ileum","9","Larval ileum","larva 9"
"Lmid2","larva","midgut","2","Larval midgut","larva 2"
"Lmid3","larva","midgut","3","Larval midgut","larva 3"
"Lmid5","larva","midgut","5","Larval midgut","larva 5"
"Lmid9","larva","midgut","9","Larval midgut","larva 9"
"Paunch12","larva","paunch","12","Larval paunch","larva 12"
"Paunch17","larva","paunch","17","Larval paunch","larva 17"
"Paunch18","larva","paunch","18","Larval paunch","larva 18"
"Paunch19","larva","paunch","19","Larval paunch","larva 19"
"Paunch20","larva","paunch","20","Larval paunch","larva 20"
"Paunch21","larva","paunch","21","Larval paunch","larva 21"
"Paunch2","larva","paunch","2","Larval paunch","larva 2"
"Paunch3","larva","paunch","3","Larval paunch","larva 3"
"Paunch5","larva","paunch","5","Larval paunch","larva 5"
"Paunch9","larva","paunch","9","Larval paunch","larva 9"
"hind12","adult","hindgut","12","Adult hindgut","adult 12"
"hind39","adult","hindgut","39","Adult hindgut","adult 39"
"hind40","adult","hindgut","40","Adult hindgut","adult 40"
"hind41","adult","hindgut","41","Adult hindgut","adult 41"
"hind46","adult","hindgut","46","Adult hindgut","adult 46"
"hind48","adult","hindgut","48","Adult hindgut","adult 48"
"hind49","adult","hindgut","49","Adult hindgut","adult 49"
"hind4","adult","hindgut","4","Adult hindgut","adult 4"
"hind7","adult","hindgut","7","Adult hindgut","adult 7"
